ID	description	image	product	period	repository	production site	find site	style	motif	technique	structure	culture	composition	component	thread 1	material	type of torsion	colour of the thread strands	thickness	direction of torsion	torsion of thread	thread 2	thread 3	fabric	colour	number of colour layers	contrast	finish	motif attribute	scene	sequence	symmetry	size	usage	direction of warp	thread 4	thread 5	thread 6
ILCA_BML063	"Muñeca esquemática, envuelta en probable fardo.
No tiene detalles de cuerpo ni ropa.
La cara y cuerpo, manos y pies están en faz de urdimbre en tejido llano en color natural (café) de algodón.
La túnica esquemática parece de un tipo de croché en colores rojo, amarillo y negro.
"	['BML063_IMG_3768.jpg', 'BML063_IMG_3769.jpg', 'BML063_a.jpg']	Doll	Late Intermediate (1000-1470 AD)	British Museum, website	Central coast, Chancay, Peru	Peru	Chancay	Anthropomorph in general	Plainweave technique	Simple warp-faced structure, warped in 1 layer	Chancay		Structural component										Warp-faced cloth	Blue, Grey, Reddish violet													
ILCA_BML064	"Fragmento de textil, probablemente de una tela originalmente cuatripartita para la cabeza.
La tela es de algodón en colores naturales.
La estructura es urdida a uno (simple), en forma de listas de urdimbre en café (con dos hilos) y blanco natural (otros dos hilos).
La técnica es figura desde listas, lo que Emery llama doble tela incompleta (Emery 1980: 157-8).
Está elaborada con una sola trama.
En la parte de la figura desaparece el blanco, y sólo se centra en el color café.
La otra cara es de hilos flotantes de color blanco.
La composición es de una sola banda de diseños centrado en un rombo escalonado (o chacana) con un ornitomorfo en su interior, con alas extendidas.
Este rombo conforma parte de un esquema simétrico mayor de patrón de rombos escalonados.
Entre estos rombos mayores se tiene rombos menores con semillas en los intersticios.
"	['BML064_IMG_3772.jpg', 'BML064_IMG_3774.jpg', 'BML064_IMG_3775.jpg', 'BML064_IMG_3776.jpg', 'BML064_IMG_3780.jpg', 'BML064_IMG_3784.jpg', 'BML064_IMG_3785.jpg', 'BML064_a.jpg', 'BML064_b.jpg']	Quadripartite cloth fragment	Late Intermediate (1000-1470 AD)	British Museum, website	Central coast, Chancay, Peru	Central coast, Peru	Chancay	Bird in general, Diamond in general, Stepped diamond	Figure from stripes technique	Simple warp-faced structure, warped in 1 layer	Chancay	Band	Structural component	Warp thread	Cotton fibre, cotton fiber Cotton thread						Warp thread	Weft thread	Warp-faced cloth	Greyish white, Pink				About to fly, With a seed inside			Axial symmetry				Weft thread		
ILCA_BML065	"Fragmento de textil con base de tejido equilibrado en algodón color café intermedio natural.
Tiene bordado aplicado en hilos de fibra de camélido (en colores rojo, amarillo, café oscuro, verde, dorado , etc.), de ornitomorfos en perfil (hacia la derecha) en filas y con una simetría diagonal.
Las aves en pose parada tienen ojo como semilla y una semilla detrás de la cabeza.
"	['BML065_IMG_3786.jpg', 'BML065_IMG_3788.jpg', 'BML065_IMG_3789.jpg', 'BML065_IMG_3792.jpg']		Late Intermediate (1000-1470 AD)	British Museum, website	Central coast, Chancay, Peru	Central coast, Peru	Chancay	Bird in general, Pampa	Weft figure	Weft-faced structure, warped in 1 layer	Chancay		Structural component	Warp and weft thread	Cotton fibre, cotton fiber Cotton thread						Warp and weft thread	Weft thread	Balanced weave, Weft-faced cloth	Green, Greyish white, Pink, Reddish brown, Reddish violet			Flat stitch	In profile									
ILCA_BML066	"Varios fragmentos de una prenda mayor, en faz de urdimbre y en faz de trama, con uniones de urdimbre con trama.
La pampa en la parte superior es de tejido llana en faz de urdimbre en algodón de color café natural.
Los hilos de urdimbre de esta pampa se agrupan para conformar los dos paneles inferiores en faz de trama.
La composición de los panel inferiores en tapiz tiene listas de café y azul que flanquean bandas de diseños de ornitomorfos en eje diagonal intercalados con líneas en el mismo eje diagonal.
Los diseños en bordado estructural (figura de trama) de ornitomorfos en perfil hacia la derecha, en un caso, y hacia la izquierda, en el otro, parecen imitar la técnica de escogido con conteo por par, 2|2, en faz de urdimbre.
La gama cromática es de rojo y amarillo.
"	['BML066_IMG_3793.jpg', 'BML066_IMG_3795.jpg', 'BML066_IMG_3796.jpg', 'BML066_IMG_3800.jpg']	Panel fragment	Late Intermediate (1000-1470 AD)	British Museum, website	Central coast, Chancay, Peru	Central coast, Peru	Chancay	Medium-sized stripe, Pampa, Pelican	Weft figure	Weft-faced structure, warped in 1 layer	Chancay	Band, Grouping of strips		Warp and weft thread	Cotton fibre, cotton fiber Cotton thread						Warp and weft thread	Warp thread	Warp-faced cloth, Weft-faced cloth	Grey, Pink, Reddish brown, Reddish violet			Selvedge with double or thicker warp threads	With serrated body, with stepped body		Diagonal							
ILCA_BML067	"Bolsa rectangular en faz de urdimbre, elaborada con fibra de camélido.
Tiene un huato especial en doble tela, con motivos de ganchos o volutas en los cuatro colores rojo, blanco, verde y azul.
La bolsa carece de borlas.
Tiene acabado a los costados y en la boca de la bolsa de festón anillado cruzado complejo (apsu).
La composición de la bolsa es de una pampa de color rojo, intercalada con cuatro listas de negro.
Tiene dos bandas mayores de diseños, una banda de tamaño intermedio y cuatro bandas menores.
Las dos bandas principales de diseños son de rombos lineales cuyos apéndices terminan en cabezas de serpientes bifurcadas y de forma frontal.
Sus ojos son como semillas y se tiene una semilla en el interior del cuerpo romboide.
La estructura de la bolsa está urdida a dos y tiene la técnica de escogido con conteo por par, 2|2, en rojo y amarillo claro.
La banda central tiene motivos de pares de rombos con semillas en su interior en los colores azul claro y rojo.
Las bandas menores tienen motivos de ganchos entrelazados (y son igualmente urdidos a dos, con técnica de escogido con conteo por par, 2|2).
"	['BML067_IMG_3802.jpg', 'BML067_IMG_3803.jpg', 'BML067_IMG_3806.jpg', 'BML067_IMG_3810.jpg', 'BML067_IMG_3812.jpg', 'BML067_IMG_3815.jpg', 'BML067_IMG_3817.jpg', 'BML067_IMG_3818.jpg', 'BML067_S1_3806.png']	Ceremonial coca bag	Late Horizon (1470-1535 AD)	British Museum, website	Central coast, Peru	Peru	Local Highland-influenced style	Diamond in general, Double cloth border, Linear 'Z' motif, Medium-sized stripe, Narrow stripe, Serpent-like, Single ladder motif, Volute	Complex double cloth technique, with 1 weft, Selected technique counted in pairs, 2|2, and 1 weft	Complex warp-faced structure, warped in 4 layers, Simple warp-faced structure, warped in 2 layers	Inka	Grouping of bands, Grouping of strips	Added component, Structural component	Warp thread	Camelid fibre						Weft thread		Warp-faced cloth	Blue, Grey, Pink, Reddish brown, Yellowish brown		Intermediate	Complex cross-knit loop stitch in one single colour, Constructed opening	With a seed inside, With an eye-seed		Double, Interlocked	Axial symmetry, Symmetry in two axes, Translation						
ILCA_BML068	"Pequeña bolsa puesta al revés, con el interior hacia afuera.
La técnica es de faz de trama con bordado estructural (figura de trama) en los diseños (urdido a uno).
La composición es de listas horizontales y bandas de diseños de volutas en dos colores.
La banda principal de diseños es en estilo lineal y tiene motivos de ofidios entrelazados con cabezas frontales divididas y cuerpos en diagonal escalonado.
El diseño es complejo
"	['BML068_IMG_3821.jpg', 'BML068_IMG_3822.jpg', 'BML068_IMG_3824.jpg']	Bag for hallucinogenic implements	Late Intermediate (1000-1470 AD)	British Museum, website	Chanchan, North coast, Peru	Central coast, Peru	Chimu	Medium-sized stripe, Narrow stripe, Serpent, Volute	Weft figure	Weft-faced structure, warped in 1 layer	Chimu	Grouping of bands, Grouping of strips	Structural component	Warp thread	Cotton fibre, cotton fiber Cotton thread						Warp thread	Weft thread	Weft-faced cloth	Grey, Greyish white, Reddish violet, Yellow			Constructed opening	With serrated body, with stepped body		Interlaced							
ILCA_BML069	"Fragmento de panel en textil con urdimbre de algodón y trama en camélido.
El panel está en tapiz con tramas suplementarias - figura de trama (brocado estructural) de una sola cara.
Un lado está terminado con anillado cruzado complejo (paqallq kumpa).
La composición de la pieza tiene listas en tapiz llano en colores rojo, negro, amarillo y ocre (amarillo oscuro).
El bordado estructural tiene una composición mayor de chevrones hacia la derecha con seis franjas de distintas combinaciones de color, antes de la repetición.
Los motivos son ornitomorfos yendo hacia arriba y abajo en el eje diagonal en alternación.
La composición parece imitar a faz de urdimbre en la técnica de reescogido por unidad (ajllita) con conteo por par, 2|2, en que el rojo aquí imita el delineado de aquel técnica.
"	['BML069_IMG_3827.jpg', 'BML069_IMG_3828.jpg', 'BML069_IMG_3829.jpg', 'BML069_IMG_3830.jpg', 'BML069_IMG_3832.jpg', 'BML069_IMG_3837.jpg', 'BML069_a.jpg']	Panel fragment	Late Intermediate (1000-1470 AD)	British Museum, website	Central coast, Chancay, Peru	Central coast, Peru	Chancay	Bird in general, Chevron, Medium-sized stripe	Weft figure	Weft-faced structure, warped in 1 layer	Chancay	Band, Grouping of strips	Structural component	Warp thread	Cotton fibre, cotton fiber Cotton thread						Warp thread	Weft thread	Weft-faced cloth	Bluish violet, Brown, Reddish brown, Reddish violet, Yellowish brown			Complex cross-knit loop stitch in one single colour	With serrated body, with stepped body		Diagonal							
ILCA_BML070	"Fragmento de panel textil en tapiz llano abierto y tapiz con tramas suplementarias - figura de trama (bordado estructural).
Tiene una flecadura agregada en la parte inferior.
La estructura es urdida a uno.
La urdimbre es de algodón y la trama de camélido.
Tiene una gama cromática de amarillos, rojos y ocres, con el lineado en negro.
La composición tiene tres partes.
Primero hay listas de color, segundo bandas intermedias con diseños de aves en perfil hacia la derecha (que imita la técnica de escogido con conteo por par, 2|2, en faz de urdimbre) y tercera una banda ancha con diseños de trono y lengua (volutas) en bloques de color en seis franjas antes de la repetición.
La fila horizontal de aves tiene solo cuatro colores antes de la repetición.
El bloque de volutas tiene un diseño en común con las prendas de Chancay.
"	['BML070_IMG_3841.jpg', 'BML070_IMG_3842.jpg', 'BML070_IMG_3846.jpg', 'BML070_IMG_3847.jpg', 'BML070_IMG_3848.jpg', 'BML070_IMG_3849.jpg', 'BML070_IMG_3850.jpg', 'BML070_IMG_3852.jpg']	Panel fragment	Late Intermediate (1000-1470 AD)	British Museum, website	Central coast, Chancay, Peru	Central coast, Peru	Chancay	Medium-sized stripe, Pelican, Rectangle, Tongue and throne motif	Weft figure	Weft-faced structure, warped in 1 layer	Chancay	Grouping of bands, Grouping of strips	Added component, Structural component	Warp and weft thread	Cotton fibre, cotton fiber Cotton thread						Warp thread	Warp thread	Balanced weave, Weft-faced cloth	Grey, Reddish brown, Reddish violet, Violet				In profile							Weft thread		
ILCA_BML071	"Fragmento de panel textil (o posiblemente de un taparrabos), en tapiz, elaborado en algodón.
Tiene flecadura agregada en la parte inferior, en fibra de camélido de color café.
El borde superior tiene restos de otra pieza, probablemente de tejido equilibrado en algodón blanco natural.
La pieza principal es de tapiz ranurado, en colores naturales de algodón (café y crema o blanco).
La composición tiene tres componentes.
Primero, tiene grupos de listas horizontales en colores naturales de algodón.
Segundo, en la parte superior e inferior se tiene bandas menores de ave-felinos organizadas en franjas oblicuas aserradas, en que se alternan un color claro y oscuro natural de algodón.
Hay semillas arriba y delante de cada ave y detrás y abajo.
Tercero, hay una banda mayor con motivos de aves (pelícanos) en filas horizontales y diagonales (con simetría p3m1), con un fondo oscuro.
Las aves están de perfil hacia la izquierda.
En el borde superior de este panel hay un contorno aserrado y en el borde inferior hay cuadros o semillas como aquellas que aparecen también en las franjas de las aves en los bloques escalonados.
"	['BML071_IMG_3855.jpg', 'BML071_IMG_3858.jpg', 'BML071_IMG_3859.jpg', 'BML071_IMG_3860.jpg', 'BML071_IMG_3862.jpg', 'BML071_IMG_3864.jpg', 'BML071_IMG_3865.jpg']	Panel fragment	Late Intermediate (1000-1470 AD)	British Museum, website	Central coast, Chancay, Peru	Central coast, Peru	Chancay	Feline figure, Medium-sized stripe, Pelican, Seed, Terraced landscape	Split tapestry technique - with long slits	Weft-faced structure, warped in 1 layer	Chancay	Grouping of bands, Grouping of strips	Added component, Structural component	Warp thread	Cotton fibre, cotton fiber Cotton thread						Warp thread	Weft thread	Weft-faced cloth	Brown, Greyish white				In profile, With seed/s in the interstices							Weft thread	Weft thread	
ILCA_BML072	"Fragmento de banda larga (mortuoria) y delgada, en bordado estructural (figura de trama), con estructura urdida a uno.
Tiene urdimbre en algodón y trama de fibra de camélido.
La pieza está cortada en los extremos.
Es de una sola cara con hilos flotantes atrás.
Tiene iconografía de cabezas de felinos en una organización vertical.
La cabeza de los felinos está dividida y se tiene un motivo de semilla-rombo en la bifurcación.
Los ojos y boca de la cara frontal del felino también parecen semillas.
La organización del diseño parece tener seis repeticiones con colores distintos de los felinos antes de repetir la secuencia.
Las figuras están delineados en color oscuro.
La pieza está casi rota en una parte y permanece unida por los hilos del bordado.
"	['BML072_IMG_3869.jpg', 'BML072_IMG_3871.jpg', 'BML072_IMG_3872.jpg', 'BML072_IMG_3874.jpg', 'BML072_IMG_3875.jpg', 'BML072_IMG_3876.jpg', 'BML072_IMG_3877.jpg', 'BML072_IMG_3881.jpg', 'BML072_IMG_3883.jpg']	Funerary belt	Late Intermediate (1000-1470 AD)	British Museum, website	Central coast, Chancay, Peru	Central coast, Peru	Chancay	Feline in general, Stripe	Weft figure	Weft-faced structure, warped in 1 layer	Chancay	Band	Structural component	Warp thread	Cotton fibre, cotton fiber Cotton thread						Warp thread	Weft thread	Weft-faced cloth	Blue, Brown, Red, Reddish brown, Reddish violet													
ILCA_BML073	"Prenda pequeña, posiblemente una incuña, en faz de urdimbre, elaborado de algodón en colores azul oscuro y blanco.
La estructura es urdida a dos y la técnica es de doble tela.
El inicio y la terminación de la pieza tiene urdimbres pareadas con trama vista, y la doble tela tiene separación donde no hay motivo.
La composición de la pieza es de una sola banda con varios segmentos de diseños.
El segmento 1 es de una fila de cuadrados o semillas cuadradas.
El segmento 2 es de varias filas de motivos de rombos escalonados o chacanas con una semilla cuadrada en su interior, organizadas en franjas verticales y diagonales (con simetría p3m1).
La pieza se inicia y se termina con segmentos de peinecillo con color en fila (patapata).
"	['BML073_IMG_3884.jpg', 'BML073_IMG_3889.jpg', 'BML073_IMG_3892.jpg', 'BML073_IMG_3896.jpg', 'BML073_IMG_3898.jpg', 'BML073_IMG_3901.jpg', 'BML073_IMG_3902.jpg', 'BML073_IMG_3903.jpg', 'BML073_IMG_3905.jpg', 'BML073_IMG_3907.jpg', 'BML073_S1_3889.png']	Incuña	Late Intermediate (1000-1470 AD)	British Museum, website	Central coast, Ichma, Peru	Central coast, Peru	Ichma	Andean cross, Seed, Single ladder motif	Simple double cloth technique, with 2 wefts	Simple warp-faced structure, warped in 2 layers	Ichma	Band	Structural component	Warp thread	Cotton fibre, cotton fiber Cotton thread						Warp thread	Weft thread	Warp-faced cloth	Blue, Greyish white		Major contrast		With a seed inside							Weft thread		
ILCA_BML074	"Banda ancha en textil (o quizás una faja ancha) en tapiz, con urdimbre de algodón y trama de fibra de camélido.
La estructura es simple (urdida a uno), y la técnica es tapiz ranurado.
Un extremo tiene acabado de tubular y en uno de los bordes largos (en la parte superior) tiene acabado de anillado cruzado con varios colores (apsu).
La composición mayor es de chevrones hacia la izquierda.
Se alternan entre chevrones con volutas y con una cabeza de felino en la punta del chevrón, y chevrones llanos sin volutas.
El patrón es de cuatro franjas de chevrones en distintos colores antes de repetir el patrón nuevamente.
"	['BML074_IMG_3909.jpg', 'BML074_IMG_3912.jpg', 'BML074_IMG_3913.jpg', 'BML074_IMG_3916.jpg', 'BML074_IMG_3917.jpg']	Wide belt	Late Intermediate (1000-1470 AD)	British Museum, website	Central coast, Chancay, Peru	Central coast, Peru	Chancay	Bifurcation, Branching volutes, Feline in general, Tapestry border	Split tapestry technique - with long slits	Weft-faced structure, warped in 1 layer	Chancay	Band, Grouping of borders	Structural component	Warp thread	Cotton fibre, cotton fiber Cotton thread						Warp thread	Weft thread	Weft-faced cloth	Brown, Orange, Reddish brown, Reddish violet			Border with greater weft density, Complex cross-knit loop stitch in one single colour, Simple structural tubular finishing	With volutes									
ILCA_BML076	"Fragmento de panel textil en tapiz de una sola cara, con urdimbre de algodón y trama de fibra de camélido, posiblemente de la parte visible de un taparrabo.
Tiene flecadura agregada en la parte inferior.
La estructura es urdida simple (a uno) con partes llanas (con listas de color) y con figuras en bordado estructural o figura de trama.
La pieza es de colores lujosos y es suntuario en estilo.
La composición del panel tiene dos componentes principales.
Primero, tiene dos bandas menores en la parte superior e inferior de la pieza, de conjuntos de dos aves, con cuerpos escalonados en común, y con dos semillas en los intersticios entre las aves, una arriba y otra abajo.
Estas bandas menores están flanqueadas por listas de colores negro, rojo y amarillo.
Segundo, la banda mayor en el eje central de la pieza tiene un patrón de ganchos ramificados de una rama central, organizadas en bloques verticales.
El doble gancho parece ser relacionado con la cabeza de felino.
Los dos tipos de banda tiene un patrón de delineado o estilo lineal.
"	['BML076_IMG_3920.jpg', 'BML076_IMG_3921.jpg', 'BML076_IMG_3924.jpg', 'BML076_IMG_3925.jpg', 'BML076_IMG_3927a.jpg', 'BML076_IMG_3928a.jpg']	Panel fragment	Late Intermediate (1000-1470 AD)	British Museum, website	Ica, Peru, South coast	Central coast, Peru	Ica	Branching volutes, Medium-sized stripe, Pelican	Weft figure	Weft-faced structure, warped in 1 layer	Ica	Grouping of bands, Grouping of strips	Added component, Structural component	Warp thread	Cotton fibre, cotton fiber Cotton thread						Warp thread	Weft thread	Weft-faced cloth	Grey, Reddish brown, Reddish violet				With seed/s in the interstices		Ramified							
ILCA_BML077	"Fragmento de banda angosta en faz de urdimbre de doble cara, elaborado en algodón en colores naturales de café y blanco-crema.
El fragmento está cortada en las partes superiores e inferiores y no se sabe de qué prenda conformó parte.
La estructura del fragmento es urdida a dos y tiene la técnica de escogido con conteo por par, 2|2.
Tiene una banda de diseños en el eje central flanqueada por listas de color natural.
La composición es de figuras ambiguamente felinos o aves.
Tiene cabezas divididas de felinos pero con cuerpo, brazos-alas y cola de un ave.
Sus ojos y boca son semillas.
La banda termina en una sección de peinecillo con color en fila (patapata).
"	['BML077_IMG_3931.jpg', 'BML077_IMG_3937.jpg', 'BML077_IMG_3938.jpg', 'BML077_IMG_3939.jpg', 'BML077_IMG_3940.jpg', 'BML077_IMG_3941.jpg', 'BML077_S1_3939.png', 'BML077_a.jpg']	Headband fragment	Late Intermediate (1000-1470 AD)	British Museum, website	Central coast, Chancay, Peru	Central coast, Peru	Chancay	Feline in general, Medium-sized stripe, Narrow stripe, Single ladder motif	Selected technique counted in pairs, 2|2	Simple warp-faced structure, warped in 2 layers	Chancay	Band, Grouping of strips	Structural component	Warp thread	Cotton fibre, cotton fiber Cotton thread						Warp thread	Weft thread	Warp-faced cloth	Greyish white, Pink, Reddish brown		Minor contrast		With an eye-seed							Weft thread		
ILCA_BML078	"Fragmento de panel en tapiz ranurado, con urdimbre de algodón y trama de fibra de camélido.
Está compuesto de dos mitades, unidas con puntada.
Tiene flecadura en rojo adjuntada en la parte inferior.
El borde superior tiene restos de puntada que indica que tuviera otra pieza adjuntada allí.
La composición parece un poco diferente en las dos mitades de la banda.
Tiene el motivo principal de serpientes bicéfalas con cuerpos aserrados, con ojos y bocas como semillas.
En una parte, en los intersticios entre cada serpiente bicéfala se tiene pares de aves (pelícanos) en perfil.
La fila de aves en la parte inferior miran hacia la izquierda
"	['BML078_IMG_3947.jpg', 'BML078_IMG_3948.jpg', 'BML078_IMG_3949.jpg', 'BML078_IMG_3950.jpg', 'BML078_IMG_3951a.jpg', 'BML078_a.jpg']	Panel fragment	Late Intermediate (1000-1470 AD)	British Museum, website	Central coast, Chancay, Peru	Central coast, Peru	Chancay	Pelican, Rectangle, Serpent	Split tapestry technique - with long slits	Weft-faced structure, warped in 1 layer	Chancay	Band		Warp thread	Cotton fibre, cotton fiber Cotton thread						Warp thread	Weft thread	Weft-faced cloth	Brown, Reddish brown, Reddish violet, Violet			Vertical pleat	Two-headed							Weft thread		
ILCA_BML079	"Fragmento de panel textil.
La base es tejido llano equilibrado en algodón en color café oscuro, y tiene motivos en color en bordado aplicado en fibra de camélido.
El panel tiene flecadura adjuntada con puntada en diagonal.
La composición es de ornitomorfos en perfil yendo hacia la derecha, en distintos colores.
La última ave en la fila parece ser una cría.
Hay un patrón de repetición de formas pero con variaciones en los colores usados.
También hay variación en las formas para expresarlas características de las diferentes aves.
Las aves están flanqueadas por bordes arriba y debajo de motivos de volutas en serie como olas del mar, hacia atrás.
El bordado parece imitar el estilo de la técnica de escogido con conteo por par, 2|2, en faz de urdimbre.
El bordado esta en hilo de camélido.
"	['BML079_IMG_3960.jpg', 'BML079_IMG_3961.jpg', 'BML079_IMG_3962.jpg', 'BML079_IMG_3963.jpg', 'BML079_IMG_3965.jpg', 'BML079_IMG_3968.jpg']	Panel fragment	Late Intermediate (1000-1470 AD)	British Museum, website	Central coast, Chancay, Peru	Central coast, Peru	Chancay	Pampa, Pelican, Volute	Embroidery	Weft-faced structure, warped in 1 layer	Chancay	Grouping of bands	Added component, Structural component	Warp and weft thread	Cotton fibre, cotton fiber Cotton thread						Warp and weft thread	Weft thread	Balanced weave, Weft-faced cloth	Brown, Reddish brown, Reddish violet				In profile									
ILCA_BML080	"Bolsa-chuspa de forma rectangular en faz de urdimbre, elaborada en fibra de camélido.
Tiene un huato adjuntado, pero carece de borlas.
El huato tiene una estructura urdida en tres capas, y la técnica es doble tela de forma tubular, con una sola trama.
El huato termina en peinecillo con color en fila (patapata).
Es de colores rojo, ocre, negro y blanco, y tiene dos bandas angostas de motivos: de volutas ramificadas en el eje diagonal en un caso, y en el otro de volutas espalda a espalda en reflexión.
La estructura de los diseños de la bolsa es urdida en tres capas, y se tiene la técnica de reescogido por unidad (ajllita) con conteo por par, 2|2.
las bandas de diseños también terminan en peinecillo de color por fila (patapata).
La bolsa está elaborada de una sola pieza.
Está acabada a un costado con encandelillado simple (color blanco) y al otro costado con anillado cruzado doble (en color amarillo).
¿Podría ser una bolsa no terminada para un entierro? La gama cromática de la bolsa es de rojo, ocre y blanco, con el delineado de las figuras en negro.
La composición de la bolsa es de listas llanas en blanco en los dos costados, y una parte central de motivos.
La parte central está organizada en bloques según el color dominante, sea rojo o amarillo oscuro.
Los motivos son variantes sobre el tema de serpientes entrelazadas, con cuerpo escalonado en franjas oblicuas, en que los cuerpos se integran con las líneas diagonales entre las franjas de serpientes.
En los dos costados se tiene bandas de volutas en ramas.
"	['BML080_IMG_3971.jpg', 'BML080_IMG_3974.jpg', 'BML080_IMG_3975.jpg', 'BML080_IMG_3976.jpg', 'BML080_IMG_3977.jpg', 'BML080_IMG_3979.jpg', 'BML080_IMG_3980.jpg', 'BML080_IMG_3982.jpg', 'BML080_IMG_3983.jpg', 'BML080_IMG_3984.jpg', 'BML080_IMG_3985.jpg', 'BML080_IMG_3986.jpg', 'BML080_IMG_3989.jpg']	Ceremonial coca bag	Late Horizon (1470-1535 AD)	British Museum, website	Chanchan, North coast, Peru	North coast, Peru	Chimu	Branching volutes, Seed, Serpent, Single ladder motif, Volute	Reselected technique selected singly, counted in pairs, 2|2	Complex warp-faced structure, warped in 3 layers	Chimu		Added component, Structural component	Warp thread	Camelid fibre						Weft thread		Warp-faced cloth	Brown, Greyish white, Pink, Reddish brown, Reddish violet		Major contrast	Constructed opening, Overcasting stitch, buttonhole stitch, Simple cross-knit loop stitch in one single colour	With serrated body, with stepped body		Interlaced							
ILCA_BML081	"Bolsa-chuspa de forma trapezoidal sin huato o borlas en faz de trama.
La forma trapezoidal de la bolsa se logra al expandir el espacio entre los hilos de urdimbre en el telar al urdir.
La urdimbre está elaborada en algodón y la trama en camélido.
El tejido llano de base es de algodón blanco.
La estructura de la bolsa es simple (urdida a uno) y la técnica es bordado estructural (figura de trama) en un lado y en el reverso es tejido llano.
La bolsa está construida de una sola pieza doblada y cosida a los costados con puntada en diagonal.
La composición es de rombos en una organización tanto horizontal y diagonal (con simetría p3m1).
El bordado estructural se hace en los colores rojo y negro que se usan en bandas horizontales.
Cada rombo tiene otros cuatro rombos en su interior, a modo de semillas.
"	['BML081_IMG_3992.jpg', 'BML081_IMG_3993.jpg', 'BML081_IMG_4002.jpg', 'BML081_IMG_4003.jpg']	Ceremonial coca bag	Middle Horizon (600-1000 AD)	British Museum, website	Peru, South coast	Peru, South coast		Diamond in general	Weft figure	Weft-faced structure, warped in 1 layer		Band	Structural component	Warp and weft thread	Cotton fibre, cotton fiber Cotton thread						Warp and weft thread	Weft thread	Weft-faced cloth	Grey, Greyish white, Reddish brown			Constructed opening										
ILCA_BML082	"Bolsa-chuspa de forma trapezoidal en faz de trama.
Carece de huato o borlas.
La forma trapezoidal de la bolsa se logra al expandir el espacio entre los hilos de urdimbre en el telar al urdir.
La estructura de los diseños de la bolsa es simple (urdida a uno) y la técnica es bordado estructural (figura de trama) en un lado de la bolsa, y en el reverso se tiene tejido llano.
La bolsa es una sola pieza doblada y cosida a los costados con puntada hilvanada.
El tejido de llano de base es de algodón blanco, y la trama del bordado estructura es fibra de camélido en colores rojo y azul, que forman listas anchas de estos colores en lo horizontal.
La composición es una variante sobre el tema de volutas en rama, que se va también como cabezas de serpientes en el eje diagonal y en el eje horizontal (con simetría de p3m1).
En este caso, la cabeza tiene cuatro rombos en su interior, a modo de semillas o como imagen de cuatripartición.
"	['BML082_IMG_4005.jpg', 'BML082_IMG_4008.jpg', 'BML082_IMG_4010.jpg', 'BML082_IMG_4013.jpg', 'BML082_IMG_4016.jpg']	Ceremonial coca bag	Middle Horizon (600-1000 AD)	British Museum, website	Peru, South coast	Peru, South coast		Branching volutes, Diamond in general, Serpent	Weft figure	Weft-faced structure, warped in 1 layer		Band	Structural component	Warp and weft thread	Camelid fibre						Weft thread		Weft-faced cloth	Blue, Greyish white, Reddish violet			Constructed opening										
ILCA_BML083	"Fragmento de panel en tapiz.
La urdimbre es de algodón y la trama de fibra de camélido.
La estructura es simple (urdida a uno) y la técnica de las listas horizontales es tapiz llano abierto y en los diseños es tapiz con tramas suplementarias - figura de trama (bordado estructural).
El panel tiene restos de otra pieza en tejido equilibrado en algodón al lado izquierdo, adjuntada con puntada diagonal.
La composición combina dos bandas de diseños con una parte central de listas, y con listas en la parte exterior.
La banda de diseños menor en la parte inferior tiene motivos de ornitomorfos bicéfalas en perfil hacia la derecha, organizados en bloques modulares (tika).
Las figuras tiene un delineado o estilo lineal en color rojo.
La técnica de figura de trama aquí parece imitar la técnica de reescogido por unidad (ajllita) con conteo por par, 2|2 en faz de urdimbre.
La banda mayor en la parte superior consiste en un patrón de chevrones hacia la izquierda con un diseño de cabezas divididas de felinos, con un rombo en la bifurcación.
Sus brazos son alas de aves, entonces se trata de una figura de ave-felino.
El patrón del diseño repite tres veces antes de una repetición de bloque.
La gama cromática de los diseños es de rojos, amarillos y violeta, además del blanco, con el delineado en rojo en todas las figuras.
"	['BML083_IMG_4018.jpg', 'BML083_IMG_4019.jpg', 'BML083_IMG_4020.jpg', 'BML083_IMG_4021.jpg', 'BML083_IMG_4022.jpg', 'BML083_IMG_4026.jpg', 'BML083_IMG_4027.jpg', 'BML083_IMG_4028.jpg', 'BML083_IMG_4029.jpg', 'BML083_IMG_4031.jpg', 'BML083_IMG_4032.jpg', 'BML083_IMG_4034.jpg']	Panel fragment	Late Intermediate (1000-1470 AD)	British Museum, website	Chanchan, North coast, Peru	Peru, South coast	Chimu	Bifurcation, Bird in general, Feline figure, Medium-sized stripe, Rectangle	Weft figure	Weft-faced structure, warped in 1 layer	Chimu	Grouping of bands, Grouping of strips	Added component, Structural component	Warp and weft thread	Cotton fibre, cotton fiber Cotton thread						Warp and weft thread	Warp thread	Balanced weave, Weft-faced cloth	Brown, Greyish white, Reddish brown, Reddish violet, Violet, Yellowish brown				Two-headed							Warp thread	Weft thread	
